ກະຈັດ,expel,kájad,vi
ກະຈັດກະແຈງ,active,ka chat ka chaeng,adj
ກະຈັດກະຈາຍ,scattered,ka chat ka chay,adj
ກະຈັດກະຈາຍໄປ,scatter,ka chat ka chay pai,v
ກະຈັ້ນ,frequently,ka chan,adv
ກະຈັ້ນກະຈໍ່,press for (something),ka chan ka chor,v
ກະຈິ້ນ,a kind of chipmunk,ka chin,n
ກະໂຈນ,jump,ka chon,v
ກະໂຈນ,leap,ka chon,v
ກະໂຈນ,dive,ka chon,v
ກະຈົນ,a small fish,ka chon,n
ກະຈວນ,powdered,ka chuan,adj
ກະຈັບ,water chestnut,ka chap,n
ກະຈັບປີ່,musical entrustment,ka chap phi,n
ກະຈັບປີ່,a kind of lute,ka chap phi,n
ກະຈາບ,a bird of one of the following species,ka chap,n
ກະຈິບ,bird of one of the following species,ka chip,n
ກະຈິບເຟືອງ,a bird of the lark type,ka chip pheuang,n
ກະຈອມປ້ອງ,shovel,ka chom phong,n
ກະຈອມປ້ອງ,spade,ka chom phong,n
ກະຈອມປ້ອງ,scoop,ka chom phong,n
ກະສາ,bird of the heron,ká sa,n
ກະສາຄວາມນ້ອຍ,medicinal plant,ka sa khuan noy,n
ກະສິກິດ,agriculture,ka si kit,n
ກະສິກັນ,argiculture,ka si kan,n
ກະສິກັນ,cultivation,ka si kan,n
ກະສິກຳ,Agriculture,kásikam,n
ກະສິກອນ,Farmer,ká si kon,n
ກະສິຣະ,milk,ka si ra,n
ກະສິຣະທາຣາ,flow of milk,ka si ra tha ra,n
ກະສີ,spirits who eat excrement,ka si,n
ກະສຸນ,projectile,ká soun,n
ກະສຸນ,cartridge,ká soun,n
ກະສຸນປືນ,Bullet,ká soun peun,n
ກະເສຣາ,lustral water,ka sae ra,n
ກະເສດ,Agriculture,ká set,n
ກະເສດ,a leguminous aquatic plant,ká set,n
ກະເສດຕະກອນ,agriculture,ka set ta kon,n
ກະເສດຕະກັມ,agriculture and animal husbandry,ka set ta kham,n
ກະເສດຕະສາດ,agronomy,ka set ta sat,n
ກະສັນ,imagine,ka san,v
ກະສັນ,wish,ka san,v
ກະສັນ,think,ka san,v
ກະສັນ,lust,ka san,v
ກະສັນ,feel sexual desire,ka san,v
ກະສັນດີ້ນໂດດ,anxious,ka san din dod,adj
ກະສັນດີ້ນໂດດ,desirous,ka san din dod,adj
ກະສັນດີ້ນໂດດ,thirsty for,ka san din dod,adj
ກະສັ່ນກະສາຍ,trembling,ka san ka say,adj
ກະສັ່ນກະສາຍ,shaking,ka san ka say,adj
ກະສັ່ນກະສາຍ,quivering,ka san ka say,adj
ກະສິນ,trance,ka sin,n
ກະສຸນ,projectile,ka sun,n
ກະສຸນ,cartridge,ka sun,n
ກະສຸນ,bullet,ka sun,n
ກະສຸນດິນດຳ,ammunition,ka sun din dam,n
ກະສຸນປືນ,ammunition,ka sun pheun,n
ກະເສນ,a large type of mango,ka sen,n
ກະແສ,Current,ká sae,n
ກະແສ,water flow,ká sae,n
ກະແສ,intonation,ká sae,n
ກະແສ,tree,ká sae,n
ກະແສນ້ຳ,Current,ká sae nam,n
ກະແສນ້ຳ,water flow,ká sae nam,n
ກະແສຂ່າວ,flow or stream of news,ká sae khao,n
ກະແສຄວາມຄິດ,flow of ideas,ká sae neo khit,n
ກະແສຄວາມຄິດ,stream of thought,ká sae neo khit,n
ກະແສໄຟຟ້າ,cirulation of currency,ká sae fai fa,n
ກະແສກົງ,direct current,ka sae kong,n
ກະແສຄຳພູດຈາ,flow of talk,ka sae kham phut cha,n
ກະແສເງິນ,circulation of currency,ka sae nyern,n
ກະແສສະລັບໄຟຟ້າ,alternating current,ka sae sa lap,n
ກະແສສຽງເວົ້າ,flow of talk,ka sae sieng vao,n
ກະແສນ້ຳເຢັນ,cold stream,ka sae nam nyan,n
ກະແສນ້ຳເຢັນ,cold current,ka sae nam nyan,n
ກະແສນ້ຳຮ້ອນ,warm stream,ka sae nam hon,n
ກະແສນ້ຳຮ້ອນ,warm current,ka sae nam hon,n
ກະແສລາຍວັນ,n. daily current account,ka sae lary van,n
ກະແສລັບສັ່ງ,royal decree,ka sae lap sang,n
ກະແສລັບສັ່ງ,order or edict,ka sae lap sang,n
ກະແສລົມ,air current,ka sae lom,n
ກະແສເວລາ,passage of time,ka sae va la,n
ກະແສເຫດການ,current of event,ka sae hat kan,n
ກະສໍ່,a very small mango,ká sor,n
ກະສໍ່,mangifera sp,ká sor,n
ກະໄສ,of a debilitating illness,ka sai,adv
ກະໄສຍະໂຣກ,any internal ailment,ka say nya rok,n
ກະໄສການ,deluge,ka say kan,n
ກະໄສການ,end of the world,ka say kan,n
ກະສັກ,plant used medicinally,ka sak,n
ກະສັງ,edible plant,ká sang,n
ກະສັງ,peperomia pellucida kunth,ká sang,n
ກະສິງ,dancers,ka sing,n
ກະສິງ,dance,ka sing,n
ກະສາຍ,odorous infusion of medicine,ka say,n
ກະສວຍ,shuttle used in weaving,ka suay,n
ກະສັດຕາໄທ້,the king,ka sat ta thai,n
ທິລາດ,monarch,ka sat ta thai,n
ກະສັດຕີ,the queen,ka sat ti,n
ກະສັດ,king,ká sat,n
ກະສຽນ,age limit,ká sien,n
ກະສຽນ,definitely finished,ká sien,n
ກະສຽນ,terminated,ká sien,n
ກະສຽນອາຍຸ,retirement,ka sian a nyu,n
ກະສວຍ,shuttle used in weaving,ká soy,n
ກະສວນ,part,ka suan,n
ກະສວນ,component,ka suan,n
ກະສວນ,model,ka suan,n
ກະສວນ,pattern,ka suan,n
ກະສອບ,sack,ká sob,n
ກະສອບ,gunny sack,ká sob,n
ກະສອບລູກປືນ,bullet pouch,ká sob louk peun,n
ກະສອບເຂົ້າ,rice sack,ka sob khao,n
ກະສາບ,cockroaches,ká sab,n
ກະເສີມ,happy,ka serm,adj
ກະເສີມ,content,ka serm,adj
ກະຊະ,wild bamboo growing at the edge of rice-fields or streams,ka sa,n
ກະຊາ,terrestrial orchid,ka sa,n
ກະຊາ,tuber edible,ka sa,n
ກະຊ້າ,hand basket,kásar,n
ກະຊ້າ,bamboo pannier,kásar,n
ກະແຊ,a toy of northern Laos,ka sae,n
ກະຊິບ,whisper,ká sib,v
ກະໂຊ້,irrigation scoop,ká so,n
ກະໂຊ້ສະນ້ຳ,pannier used to transfer water,ká so sa nam,n
ກະໂຊ້ກຽນ,a large pannier fitting into a cart,ka so kian,n
ກະເຊີ,pannier used to catch small fish by hand,ka ser,n
ກະເຊົ້າ,pannier for display of wares,ka sao,n
ກະຊັກ,name of a mountain north of Luang Prabang,ka sak,n
ກະຊາກ,pull forcefully,ká sark,v
ກະຊາກ,snatch up,ká sark,v
ກະຊາກອອກ,pull out forcefully,ka sak oak,v
ກະແຊງ,edible aquatic plant,ká saeng,n
ກະແຊງ,ottelia japonica miq,ká saeng,n
ກະແຊງ,hard wood tree cananga latiforia F,ká saeng,n
ກະຊອນ,kitchen utensil,ká son,n
ກະຊອນ,cricket-like insect,ká son,n
ກະຊວນ,ministry,ká suang,n
ກະຊາມ,bowl,ká sam,n
ກະຊັງ,walk in one’s sleep,ka sang,v
ກະແຊງ,a large sampan with side-passage decks,ka saeng,n
ກະຊວງ,a ministry of the government,ka suang,n
ກະຊວງກະເສດ,Ministry of Agriculture,ka suang ka sat,n
ກະຊວງກະລາໂຫມ,Ministry of Defense,ka suang ka la hom,n
ກະຊວງການຄັງ,ministry of finance,ka suang kan kang,n
ກະຊວງຄົມມະນາຄົມ,Ministry of Communications,ka suang kam ma na kom,n
ກະຊວງສະຫະກອນ,Ministry of Cooperation Affairs,ka suang sa ha kon,n
ກະຊວງສາທາລະນະສຸກ,Ministry of Public Health,ka suang sa tha la na suk,n
ກະຊວງເສດຖະກິດ,Minstry of Economic Affairs,ka suang saet tha kit,n
ກະຊວງສຶກສາທິການ,Ministry of Education,ka suang seuk sa thi kan,n
ກະຊວງຍຸທິທັມ,Minsitry of Justice,ka suang nyu thi tham,n
ກະຊວງຕ່າງປະເທດ,Ministry of Foreign Affairs,ka suang tang pha that,n
ກະຊວງປ້ອງກັນປະເທດ,Ministry of Defence,ka suang phong kan pha that,n
ກະຊວງມະຫາດໄທ,Ministry of the Interior,ka suang ma hat thai,n
ກະຊວງວັດທະນະທັມ,Ministry of the Culture,ka suang vat tha na tham,n
ກະຊວງອຸດສາຫະກັມ,Ministry of Industry,ka suang ot sa ha kam,n
ກະຊາຍ,leguminous plant with edible root,ka say,n
ກະເຊດ,herb,ka set,n
ກະຊັ້ນ,approaching,ka san,adj
ກະຊັ້ນ,closing in on,ka san,adj
ກະຍ່າ,tree of the acacia family,ka nya,n
ກະຍື,asthma,ká yi,n
ກະຍຸງ,hard wood tree of the ebony family,ká yong,n
ກະຍຸງ,dalbergia cochinchinensis,ká yong,n
ກະແຍງ,a small species of river fish,ká yaeng,n
ກະແຍງ,an edible leguminous weed growing in the rice fields,ká yaeng,n
ກະແຍງໂຄ,a large river fish,ka yaeng kho,n
ກະແຍງໂຄ,similar to Mystus spp,ka yaeng kho,n
ກະໂຍມ,a fervent Buddhist,ka yom,n
ກະຍອມ,a hard wood tree,ká yom,n
ກະຍອມ,shore a floribunda,ká yom,n
ກະເຍີມ,destiny,ka yerm,n
ກະເຍີມ,fate,ka yerm,n
ກະດີ,domitory for bonzes in the temple,ká dee,n
ກະເດາະປາກ,click the tongue,ká dor pak,v
ກະດາດ,paper,ká dard,n
ກະດາດຊັບ,blotting paper,ká dard xab,n
ກະດາດຂຽນຈົດຫມາຍ,writing paper,ká dard khian chot mai,n
ກະດາດງັ້ດມື,paper nap-skin,ká dard xed meu,n
ກະດາດນ້ຳມັນ,wax paper,ká dard nam man,n
ກະດາດກ້າກຍ້ອນ,carbon paper,ka dad kakyon,n
ກະດາດແກ້ວ,transparent tracing paper,ka dad keo,n
ກະດາດໄຂ,stencil,ka dad kai,n
ກະດາດແຂງ,cardboard,ka dad khaeng,n
ກະດາດສາ,native paper,ka dad sa,n
ກະດາດຊາຍ,stand-paper,ka dad say,n
ກະດາດຊາຍ,polishing paper,ka dad say,n
ກະດາດຫໍ່່່ຂອງ,wrapping paper,ka dad hor khong,n
ກະດໍ່,penis,ká dor,n
ກະດໍ່ກະເດັ້ຍ,extremely,ká dor ka dia,adj
ກະດໍ່ກະເດັ້ຍ,exaggeratedly,ká dor ka dia,adj
ກະເດົາ,cinchona family,ká dao,n
ກະເດົາ,melia indica,ká dao,n
ກະເດົາຊ້າງ,Japanese lilac,ka sao sang,n
ກະໄດ,flight of stairs,ka dai,n
ຂັ້ນໄດ,ladder stairs,ka dai,n
ກະໄດລິງ,vine,ka dai ling,n
ກະດັກກະເດັ້ຍ,extremely,kádakkadia,adj
ກະດັກກະເດັ້ຍ,exaggeratedly,kádakkadia,adj
ກະດາກ,shame,ka dak,n
ກະດາກ,modesty,ka dak,n
ກະດາກ,bashfulness,ka dak,n
ກະດິກ,shake or swing part of body or fingers or legs,kádik,v
ກະດິກກະແດກ,shake or swing parts of the body,ka dik ka daek,v
ກະດິກກະແດກ,as the fingers or legs,ka dik ka daek,v
ກະດິກຂາ,swing the legs,ka dik kha,v
ກະດິກຕີນ,shake the feet,ka dik tin,v
ກະດິກນີ້ວມື,wiggle the fingers,ka dik neuv meu,v
ກະດິກກະດຶ້ນ,shake or swing parts of the body,ka dik ka deun,v
ກະດິງ,bells,káding,n
ກະດິງ,chimes,káding,n
ກະດິງກິນເຂົ້າ,dinner bell,ka ding kin khao,n
ກະດິງປະຕູ,door bell,ka ding pha tu,n
ກະດິງຫ້າວ,small suspended bells,ka ding hao,n
ກະດິງຫ້າວ,sounded by the wing,ka ding hao,n
ກະດິກກະດຽມ,tickle,kádikkadiem,v
ກະດຸກກະດິກ,wingle,kádoukkadik,v
ກະດຸກກະດິກ,squim,kádoukkadik,v
ກະດູກ,bone,kádouk,n
ກະດູກຂາງ,rib,kádoukkhang,n
ກະດູກຂາ,leg,kádoukkha,n
ກະດູກສັນຫລັງ,spine,kádouksanlang,n
ກະດູກສັນຫລັງ,backbone,kádouksanlang,n
ກະດູກມີດ,clavicle,kádoukmeet,n
ກະດູກຫລ້ອນ,bare bone,kádouklon,n
ກະດູກກົ້ນກົບ,sacroiliac,ka duk kon kob,n
ກະດູກງູ,snake bones,ka duk ngu,n
ກະດູກສັນຫລັງຂອງຊາດ,backbone of the nation,ka duk sun lung kong sat,n
ກະດູກຫລັງ,spine,ka duk lung,n
ກະດູກຫລັງ,backbone,ka duk lung,n
ກະດູກຂຽດນ້ອຍ,plant,ka duk khiat noy,n
ກະໂດກ,rotted wood,ka dok,n
ກະດົກ,higher on one side,ka dok,adj
ກະດົກ,off plumb,ka dok,adj
ກະດົກກະເດື່ອງ,seesaw,ka dok ka deuang,v
ກະດ່າງກະດວາ,speckled,ka dang ka dao,adj
ກະດ່າງກະດວາ,spotted,ka dang ka dao,adj
ກະດ່າງກະດວາ,mottled,ka dang ka dao,adj
ກະດ່າງກະດວາ,stained,ka dang ka dao,adj
ກະດ້າງ,tough,ka dang,adj
ກະດ້າງ,hard,ka dang,adj
ກະດ້າງກະເດື່ອງ,recalcitrant,ka dang ka deaung,adj
ກະດຸ້ງ,a large fish net,kádoung,n
ກະດຸ້ງ,scoop net,kádoung,n
ກະແດ້ງ,dry,kádaeng,adj
ກະແດ້ງ,arid,kádaeng,adj
ກະແດ້ງ,desiccate,kádaeng,adj
ກະແດ້ງ,dried out,kádaeng,adj
ກະດົ້ງ,a flat straw pannier in which paddy rice is tossed to remove chaff,kádoung,n
ກະດອງ,carapace,kádong,n
ກະດອງ,skull,kádong,n
ກະດອງເຕົ່າ,tortoise shell,kádongtao,n
ກະດອງປູ,crab shell,ka dok pu,n
ກະດອງຫົວ,skull,ka dok hua,n
ກະເດືອນ,seesaw,kádeuang,n
ກະດາງ,an edible mushroom,ká dang,adj
ກະໂດດ,jump,ká dod,v
ກະໂດດ,leap,ká dod,v
ກະໂດດເຂົ້າ,jump in,ka dod khao,v
ກະໂດດຂຶ້ນ,jump up,ka dod kheun,v
ກະໂດດໃສ່,jump at,ka dod sai,v
ກະໂດດລົງ,jump down,ka dod long,v
ກະໂດດອອກ,jump out,ka dod ork,v
ກະເດີດ,a small river fish,káderd,n
ກະເດີດ,trichinous,káderd,n
ກະເດື່ອງ,seesaw,ka dueng,n
ກະດາຍ,a word used for emphasis at the end of a sentence (not translated),ka day,n
ກະດັດ,exaggerated,ka dat,adj
ກະດັດ,excessive,ka dat,adj
ກະດັນ,hard body growth such as a callus or goiter,ká darn,n
ກະດັນ,leg cramp,ká darn,n
ກະດັນຂາ,leg cramp,ka dan kha,n
ກະດັນທ້ອງ,cramp in the stomach,ka dan thong,n
ກະດັນງາ,flowery plant,ka dan nga,n
ກະດັນຈີນ,vine,ka dan chin,n
ກະດັນຈີນ,ornamental flowers,ka dan chin,n
ກະດານ,board,ká darn,n
ກະດານດຳ,blackboard,ka darn dam,n
ກະດານປ້າຍ,bulletin board,ka darn phai,n
ກະດານຟື້ນ,flooring,ka darn pheun,n
ກະດານຫົວ,skull,ka darn hua,n
ກະດານຫິນ,a wooden tablet for writing,ka darn hin,n
ກະດານຫມາກຣຸກ,checker or chess board,ka darn mak ruk,n
ກະດອນ,cork,ká don,n
ກະເດັນ,bounce,ká den,v
ກະເດັນ,rebound,ká den,v
ກະເດັນ,reject,ká den,v
ກະເດັນເຂົ້າ,bounce in,ka den khao,v
ກະເດັນຄືນ,bounce back,ka den kheun,v
ກະເດັນໃສ່,bounce back at,ka den sai,v
ກະເດັນອອກ,bounce out,ká den-ork,v
ກະໂດນ,sour leaf,ká don,n
ກະໂດນ,careya arborea,ká don,n
ກະໂດນນ້ຳ,tree,ka don nam,n
ກະໂດນນ້ຳ,edible leaf,ka don nam,n
ກະໂດນນ້ອຍ,tree,ka don noy,n
ກະໂດນນ້ອຍ,edible leaf,ka don noy,n
ກະດົ້ນ,anat,ka don,n
ກະດອນ,bounce,ka don,v
ກະດອນ,rebound,ka don,v
ກະດອນອອກ,bounce,ka don ork,v
ກະດອນອອກ,rebound,ka don ork,v
ກະໂດ້ນ,nape of the neck,ká don,n
ກະເດືອນ,earth worm,ká deuan,n
ກະດິບໆ,advance by continuous contraction and expansion,ka dib dib,v
ກະດິບໆ,as a caterpillar,ka dib dib,v
ກະດີບເດົ້າ,a small bird living near pools and characterized by a swooping flight,kádepdao,n
ກະເດບໆ,climb a tree,ka daeb daeb,v
ກະເດບໆ,holding closely,ka daeb daeb,v
ກະເດບໆ,chest against tree trunk,ka daeb daeb,v
ກະດາມຜີ,epiphytic orchid,ka dam phi,n
ກະດຶມ,shivering from disgust or repulsion,ka deum,adj
ກະແດບກະແດບ,climb a tree,kádebkadeb,v
ກະແດບກະແດບ,holding closely,kádebkadeb,v
ກະແດບກະແດບ,chest against tree trunk,kádebkadeb,v
ກະດຸມ,button,kádoom,n
ກະດຸມພີ,capitalist,ka dum phi,n
ກະດຸມພີ,wealthy person,ka dum phi,n
ກະດອມ,bush,kádom,n
ກະດອມ,ornmental flowers,kádom,n
ກະດອມ,rothmannia venalis brem,kádom,n
ກະດອມເຄືອ,a vine with white flowers,kádomkhía,n
ກະດອມເຄືອ,gymnopetalum indochina,kádomkhía,n
ກະດອມຕົ້ນ,a tree with white flowers,Kádom tòn,n
ກະດອມພຸ໋ມ,a bush with white flowers,kádom phum,n
ກະດຽມ,modesty,kádia:m,n
ກະດຽມ,bashfulness,kádia:m,n
ກະດຽມ,ticklish,kádia:m,n
ກະດ້ວມກະດ້ຽມ,lethargically,Ka dùa:m ká dia:m,adv
ກະດ້ວມກະດ້ຽມ,slowly,Ka dùa:m ká dia:m,adv
ກະເດ່ວ,limping,Ká dē:v,adv
ກະແດ່ວ,tottering,kádaev,adj
ກະດຽວວ່າ,argue,kádia:v va,v
ກະດຽວວ່າ,understand that,kádia:v va,v
ກະດຽວວ່າ,think that,kádia:v va,v
ກະຕະເວທີ,gratitude,ká tá vé: thï:,n
ກະຕະເວທີ,piety,ká tá vé: thï:,n
ກະຕາທິການ,benefit,ká tá: thī,n
ກະຕາທິການ,merit,ká tá: thī,n
ກະຕ່າ,basket,ká tá:,n
ກະຕ່າກວຍ,a large,ka ta koy,n
ກະຕ່າກວຍ,coarsely woven panier,ka ta koy,n
ກະຕ່າຫ່າງ,a large pannier with coarse interstices,ka ta hang,n
ກະຕ່າຫວາຍ,a basket mage of rattan,ka ta huay,n
ກະຕິ,dormitory for bonzes,ká tï,n
ກະຕິກາ,rule,ká tï ka:,n
ກະຕິກາ,agreement,ká tï ka:,n
ກະຕິກາ,provision,ká tï ka:,n
ກະຕິກາ,pact,ká tï ka:,n
ກະຕິກາສັນຍາ,conditions of a treaty,ka ti ka san nya,n
ກະຕິກາຕັ້ງກະຕິກາ,establish a regulation,ka ti tang ka ti ka,v
ກະຕິກາຕັ້ງກະຕິກາ,set up rules,ka ti tang ka ti ka,v
ກະຕິກາຮ່າງກະຕິກາສັນຍາ,draft a pact,ka ti ka hang ka ti san ya,v
ກະຕື້ລືລົ້ນ,be in earnests,ká tï: lï: lon,v
ກະຕື້ລືລົ້ນ,hasten,ká tï: lï: lon,v
ກະຕູ່,black toad,ká tu,n
ກະແຕະ,plaited bamboo used to make carries for fowl,ká tae,n
ກະແຕະ,hunting,ká tae,n
ກະແຕ,a rodent of the squirrel type,ká tae,n
ກະແຕແຊ,lid for pannier used to catch fish,ká tae sae,n
ກະແຕແຮ,lid for pannier used to catch fish,ká tae hae,n
ກະແຕລອດຂອນ,plant with medical roots,ká tae lord korn,n
ກະເຕາະກະແຕະ,weak,ká tor ká tae,adj
ກະເຕາະກະແຕະ,feeble,ká tor ká tae,adj
ກະເຕາະກະແຕະ,pieces,ká tor ká tae,n
ກະເຕະ,small household pannier,ká tae,n
ກະຕໍ່,stump,ká tor,n
ກະຕໍ່,rattan ball,ká tor,n
ກະງຕິ,sieve or colander with large holes,ká ter,n
ກະງຕິ,flotsam,ká ter,n
ກະເຕິລອດຊ່ອງ,a small Lao cake,káterlornsong,n
ກະເຕິລອດຊ່ອງ,a cloth press for squeezing out the cake,káterlornsong,n
ກະໄຕ,scissors,ká tay,n
ກະໄຕ້,torch of resinous wood,ká tày,n
ກະເຕົາ,a small river fish,ká tao,n
ກະເຕົາ,cooked or dried whole,ká tao,n
ກະຕ່ຳ,wooden trap for large animal or fish,ká tam,n
ກະຕັກ,goad,ká tak,n
ກະຕາກ,cackle of a hen after laying an egg,ká taek,n
ກະຕາກສຽງ,cackle of a hen after laying an egg,ka taek sieng,n
ກະຕິກ,thermos bottle,ká tik,n
ກະຕິກນ້ຳ,thermos bottle,ka tik nam,n
ກະຕິກນ້ຳກ້ອນ,thermos for ice,ka tik nam kon,n
ກະຕິກນ້ຳຮ້ອນ,thermos for hot water,ka tik nam hon,n
ກະຕືກ,tape worm,kká teuk,n
ກະຕືກກົມ,worm-shaped,ka teuk kom,adj
ກະຕືກແປ,tape worm,ka teuk phae,n
ກະໂຕກ,a taboret for serving food,ká tok,n
ກະຕອກ,knot,ka tok,n
ກະຕັງກະຕິ້ວ,wild rubber tree or vine (of several species),ká tang ká tiv,n
ກະຕອ່ງ,ladle of wood or straw,ká tong,n
ກະຕ່າຍ,grater,ka tai,n
ກະຕ່າຍ,shredder,ka tai,n
ກະຕ່າຍຂູດຫມາກພ້າວ,coconut grater or shredder,ka tai kud mak phao,n
ກະຕ່າຍທົ່ງ,grater,ka tai thong,n
ກະຕ່າຍເຫລັກ,metal grater,ka tai lek,n
ກະຕ່າຍແກ້ວ,white rabbit,ka tai kao,n
ກະຕ່າຍບ້ານ,the domestic rabbit,ka tai ban,n
ກະຕ່າຍປ່າ,hare,ka tai pha,n
ກະຕ່າຍຫມໍ່,the large domestic rabbit,ka tai mor,n
ກະຕ່ອຍ,plant,ka toy,n
ກະຕ້ອຍ,wild pepper,ká toy,n
ກະຕ້ອຍ,leaves chewed,ká toy,n
ກະຕັດ,scissors,ká tat,n
ກະຕາດ,plaited bamboo,ká tad,n
ກະຕາດ,grill rack,ká tad,n
ກະຕຸດ,a charm (usually of silver),ká tut,n
ກະຕຸດ,with engraved inscription,ká tut,n
ກະຕັນຍູ,grateful person,ká tan nyu,n
ກະຕັນຍູ,gratitude,ká tan nyu,n
ກະຕັນຍູຄວາມກະຕັນຍູ,gratitude,ka tan nyu khuam ka tan nyu,n
ກະຕັນຍູສແດງຄວາມ ກະຕັນຍູ,express one’s gratitude,ka tan nyu sa deng ka tan nyu,v
ກະຕັນຍູດ້ວຍຄວາມ ກະຕັນຍູ,with gratitude,ka tan nyu doy khuam ka tan nyu,adv
ກະເຕັນ,a large fish-eating bird,ká ten,n
ກະເຕັນຊິວ,a small fish-eating bird,ka ten sao,n
ກະໂຕ່ນ,a vine of the pumpkin family,ká ton,n
ກະໂຕ່ນ,edible fruit,ká ton,n
ກະຕາບໆ,in the manner of climbing down a tree,ká tap tap,adv
ກະຕິບ,bamboo box for cooked glutinous rice,ká tip,n
ກະຕິບເຂົ້າ,bamboo box for cooked glutinous rice,ka tip khao,n
ກະແຕບ,a very small stream fish,ka taep,n
ກະແຕບ,almost transparent,ka taep,n
ກະຕາມ,no matter,ká tam,adv
ກະຕາມຊ່າງ,It’s not important,ka tam zang,adv
ກະຕາມເທາະ,It doesn’t matter,ka tam tor,adv
ກະຕຽມ,prepare,ká tiam,v
ກະຕ້ວມກະຕ້ຽມ,slowly,ká tuam ká tiam,adv
ກະຕ້ວມກະຕ້ຽມ,weak in action,ká tuam ká tiam,adv
