,Japanese,Lao,phonetic alphabet,English
,穴,ຮູ ,huu, hole
,あなた（の）,ຂອງເຈົ້າ ,hkohng jao2, your
,あなた,ເຈົ້າ ,jao2, you
,あなたたち,ພວກເຈົ້າ ,phuak jao2 , you
,兄,ອ້າຍ ,aay2 , brother
,姉,ເອື້ອຍ ,euay2, sister
,あの（～）,ນັ້ນ ,nan2, that
,あのう,ອັນນາ ,an naa, well ....
,あの頃ano,ຕອນນັ້ນ ,tohn nan2, at that time
,あの人ano,ຄົນນັ້ນ ,khon nan2, that person
,アパート,ຫ້ອງໃຫ້ເຊົ່າ ,hhohng2 hhay2 xao1, apartment
,アヒル,ເປັດ ,pet , duck
,浴びる,ອາບ ,aap, get bathed
,アフガニスタンafuganisutan,ອັບການິສະຖານ ,ap kaa ni sa htaan, Afghanistan
,危ない,ອັນຕະລາຍ ,an ta laay, dangerous
,油,ນ້ຳມັນ ,nam2 man," fat, oil"
,アフリカ,ອາຝະລິກກາ ,aa hfa lik kaa , Africa
,阿呆,ໂງ່ ,ngoo1, stupid
,阿呆,ຈ້າ ,jaa2, stupid
,アボガド,ອາໂວກາໂດ້ ,aa woo kaa doo2, avocado
,甘い,ຫວານ ,hhwaan, sweet
,尼さんamasan,ແມ່ຂາວ ,mae1 hkaaw, nun
,余りamari,ສ່ວນເຫລືອ ,suan1 hleua, remainder
,あまりamari,ບໍ່ຫລາຍ ,boh1 hlaay, not much
,余るamaru,ຍັງເຫລືອ ,nyang hleua, remain
,網,ຕາຫນ່າງ ,taa hnaang1, net
,飴ame,ເຂົ້າຫນົມອົມ ,hkao2 hnom om, candy
,雨,ຝົນ ,hfon, rain
,アメリカ,ອະເມລິກາ ,a mee li kaa, America
,アメリカ,ອະເມລິກາ ,a mee li kaa, America
,怪しい,ຫນ້າສົງໃສ ,hnaa2 song say, suspected
,過ち,ບາບ ,baap, sin
,謝るayamaru,ຂໍໂທດ ,hkoh thoot, apologize
,謝るayamaru,ຂໍອະໄພ ,hkoh a phai, apologize
,荒い,ບໍ່ລຽບ ,boh1 liap, rough
,洗う,ສະ ,sa, wash (hair)
,洗う,ຊັກ ,xak, wash (cloth)
,洗う,ລ້າງ ,laang2, wash
,嵐,ພະຍຸ ,pha nyu, storm
,争う,ຜິດຖຽງກັນ ,hpit htiang kan, quarell
,改める,ເຮັດໃຫມ່ ,het hmai1, renew
,現われる,ປະກົດຂື້ນ ,pa kot hkeun2, appear
,蟻,ມົດ ,mot, ant
,ありがとう,ຂອບໃຈ ,hkohp jay, thank you
,ありがとうございます,ຂອບໃຈຫລາຍໆ ,hkohp jay hlaay #, thank you very much 
,ある,ມີ ,mii, exist
,あるいはaruiwaa,ຫລືວ່າ ,hleu waa1, or 
,歩く,ຍ່າງ ,nyaang1 , walk
,あれ,ນັ້ນ ,nan2, that
,あれ,ອັນນັ້ນ ,an nan2, that is ''
,アレルギー,ພຸມແພ້ ,phum phae2, allergy
,合わせる,ໃສ່ນຳກັນ ,say1 nam kan, put together
,慌てるawateru,ພ້າວ ,phaaw2, be in a hurry
,暗証番号,ລະຫັດຜ່ານ ,la hhat hpaan1, password
,安心できる,ວາງໃຈ ,waang jay, reliable
,安全,ປອດໄພ ,poht phai, safety
,安定,ເຮັດໃຫ້ທ່ຽງ ,het hhay2 thiang1, steady
,アンティーク,ວັດຖຸບູຮານ ,wat htu buu haan, antique
,案内,ແນະນຳ ,ne' nam, introduce
,胃,ກະເພາະ ,ka pho', stomach
,いい香り,ກິ່ນຫອມ ,kin1 hhohm, good smell
,良い,ດີ ,dii, good
,いいえ,ບໍ່ ,boh1, no
,いい加減,ບໍ່ຮຽບຮ້ອຍ ,boh1 hiap hohy2, not to be neat
,言い張る,ຮັກສາຄົງເດີມ ,hak saa khong derm," argue, maintain"
,Ｅメール,ອີເມວ ,ii meew, e-mail
,言う,ບອກ ,bohk, tell
,言う,ລົມ ,lom," talk, speak"
,言う,ເວົ້າ ,wao2," say, tell"
,言うこと,ຟັງຄວາມ ,fang khwaam, obey
,家の敷地ie,ບ້ານ ,baan2, house compound
,家,ເຮືອນ ,heuan, house
,イカ,ປາອີ່ຮື ,paa ii1 heu, squid
,（～）以外,ນອກຈາກນີ້ ,nohk jaak nii2, except
,（～）以外,ນອກຈາກ ,nohk jaak , except
,息iki,ລົມຫາຍໃຈ ,lom hhaay jay, breath
,イギリスigirisu,ອັງກິດ ,ang kit, England
,生きる,ເປັນຢູ່ ,pen yuu1, live
,生きる,ມີຊີວິດຢູ່ ,mii xii wit yuu1, alive
,行く,ໄປ ,pai, go
,いくつ,ທໍ່ໃດ ,thoh1 day, how many
,いくつikutsu,ເທົ່າໃດ ,thao1 day, how many
,いくら,ທໍ່ໃດ ,thoh1 day, how much
,いくら,ເທົ່າໃດ ,thao1 day, how much
,いくらの,ຈັກ ,jak, how many
,池,ສະ ,sa, pond
,池ike,ຫນອງ ,hnohng, pond
,意見,ຄວາມຄິດເຫັນ ,khwaam khit hhen, idea
,意見,ຄວາມເຫັນ ,khwaam hhen, idea
,勇ましいisamashii,ກ້າ ,kaa2, brave
,維持,ຮັກສາ ,hak saa, keep
,意志,ເຈດຕະນາ ,jeet ta naa, will
,医師ishi,ທ່ານຫມໍ ,thaan1 hmoh, doctor
,石,ຫີນ ,hhiin, stone
,意識,ຄິດ ,khit, think
,意識,ຄຶດ ,khuet, think
,いじめる,ຂົ່ມເຫັງ ,hkom1 hheng, bully
,医者isha,ນາຍຫມໍ ,naay hmoh, doctor
,異常,ບໍ່ທຳມະດາ ,boh1 tham ma daa, irregular
,異常,ບໍ່ປົກກະຕິ ,boh1 pok ka ti, irregular
,椅子,ຕັ່ງ ,tang1, chair
,イスラエル,ອິດສະລາແອນ ,it sa laa aen, Israel
,イスラム教徒,ຊາວອິດສະລາມ ,xaaw it sa laam, Islamic
,イスラム教,ອິດສະລາມ ,it sa laam, Islam
,移籍,ຍ້າຍ ,nyaay2, transfer
,遺跡,ບູຮານສະຖານ ,buu haan sa htaan, ancestral site
,いそいで,ໄວໆ ,wai #, quickly
,忙しいisogashii,ຄາວຽກ ,khaa wiak, busy
,忙しいisogashii,ວຽກ ,wiak, busy
,急ぐ,ພ້າວ ,phaaw2, be in hurry
,板,ແຜ່ນ ,hpaen1, board
,痛い,ເຈັບ ,jep, pain
,痛い,ປວດ ,puat, ache
,悪戯,ຂີ້ດື້ ,hkii2 deu2, rascal
,いただきます,ຂອບໃຈສຳລັບອາຫານ ,hkohp jay sam lap aa hhaan, thanks for your food
,炒める,ຂົ້ວ ,hkua2, fry
,炒める,ຜັດ ,hpat, fry
,イタリア人,ຄົນອີຕາລີ ,khon ii taa lii, Italian
,イタリアitaria,ອີຕາລີ ,ii taa lii, Italy
,位置ichi,ສະຖານທີ່ ,sa htaan thii1, location
,一（１）,ທີຫນຶ່ງ ,thii nueng1, one
,一（１）,ຫນຶ່ງ ,hnueng1, one
,１月,ເດືອນມັງກອນ ,deuan mang kohn, January
,１月,ເດືອນຫນຶ່ງ ,deuan hnueng, January
,イチゴichigo,ສະຕໍເບີລີ້ ,sa toh ber lii2, strawberry
,１日ichi,ມື້ຫນຶ່ງ ,meu2 hnueng1, one day
,市場ichiba,ຕະຫລາດ ,ta hlaat, market
,一番,ອັນດັບຫນຶ່ງ ,an dap hnueng1, first
,一部分,ສ່ວນຫນຶ່ງ ,suan1 hnueng1, part
,胃腸薬,ຢາດີກະເພາະ ,yaa dii ka pho', stomach ach drug
,一輪車,ລົດຖີບກົງດຽວ ,lot htiip kong diaw, unicycle
,いつ,ຍາມໃດ ,nyaam day, when
,いつ,ເມື່ອໃດ ,meua1 day, when
,いつ,ເມື່ອໃດ ,meua1 day, when
,１階,ຊັ້ນທີຫນຶ່ງ ,xan2 thii hnueng1, first floor
,１回,ເທື່ອຫນຶ່ງ ,theua1 hnueng1," once, one time"
,１階,ຊັ້ນລ່າງ ,xan2 laang1, first floor
,１回,ເທື່ອດຽວ ,theua1 diaw," once, one time"
,１週間,ອາທິດຫນຶ່ງ ,aa thit hnueng1, one week
,一緒,ນຳກັນ ,nam kan, together
,一緒i¿sho,ພ້ອມກັນ ,phohm2 kan, together
,一生,ຕະຫລອດຊີວິດ ,ta hloht xii wit, for a long life
,一生懸命,ພະຍາຍາມ ,pha nyaa nyaam, by one's best
,一生懸,ພະຍາຍາມເຕັມທີ່ ,pha nyaa nyaam tem thii1, by one's best
,一所懸命,ພະຍາຍາມ ,pha nyaa nyaam, by one's best
,一等,ທີຫນຶ່ງ ,thii hnueng1, first place
,いっぱい,ເຕັມ ,tem, full
,一般,ທົ່ວໄປ ,thua1 pai, generally
,一般的,ໂດຍທົ່ວໄປ ,dooy thua1 pai, generally 
,一方的,ຂ້າງດຽວ ,hkaang2 diaw, only one side
,いつも,ຕາມປົກກະຕິ ,taam pok ka ti , always
,いつもitsumo,ເປັນປະຈຳ ,pen pa jam, always
,いつも,ເປັນປົກກະຕິ ,pen pok ka ti, always
,遺伝iden,ກຳມະພັນ ,kam ma phan, heredity
,遺伝iden,ເຊື້ອຊາດ ,xeua2 xaat, race
,糸,ເສັ້ນດ້າຍ ,sen2 daay2," yarn, string, thread"
,井戸,ນ້ຳສ້າງ ,nam2 saang2, well
,いとしい,ທີ່ຮັກແພງ ,thii1 hak phaeng," dear, daring"
,いなかinaka,ບ້ານນອກ ,baan2 nohk," rural, countryside"
,犬,ຫມາ ,hmaa , dog 
,稲,ຕົ້ມເຂົ້າ ,tom2 hkao2, rice plant
,稲,ກ່ຽວເຂົ້າ ,kiaw1 hkao2, harvest rice
,命,ຊີວິດ ,xii wit, life
,祈る,ຂໍໃຫ້ ,hkoh hhay2, pray
,祈るinoru,ພາວະນາ ,phaa wa naa, hope
,祈る,ໄຫວ້ ,hhwai2, pray
,いばる,ຖືຕົວ ,hteu tua, conceited
,違反,ຜິດກົດຫມາຍ ,hpit kot hmaay, illegal
,今,ດຽວນີ້ ,diaw nii2, right now
,今,ຕອນນີ້ ,tohn nii2, now
,居間ima,ຫ້ອງໂຖງ ,hhohng2 htoong, living room
,意味,ຄວາມຫມາຍ ,khwaam hmaay, meaning 
,芋,ມັນດ້າງ ,man daang2, sweet potato
,妹imooto,ນ້ອງສາວ ,nohng2 saaw, sister
,嫌になる,ບໍ່ເອົາແລ້ວ ,boh1 ao laew2, terribly
,依頼,ຮ້ອງຂໍ ,hohng2 hkoh, request
,いらいら,ຄຽດ ,khiat," resent, angry with"
,イラク,ອີລັກ ,ii lak, Iraq
,要らない,ບໍ່ຕ້ອງການ ,boh1 tohng2 kaan, do not want
,要らない,ບໍ່ຈຳເປັນ ,boh1 jam pen, unnecessary
,要らない,ບໍ່ຢາກໄດ້ ,boh1 yaak dai2, do not want
,要らない,ບໍ່ເອົາແລ້ວ ,boh1 ao laew2, not to take
,入り口,ທາງເຂົ້າ ,thaang hkao2, entrance
,要る,ຈຳເປັນ ,jam pen, need
,要る,ຕ້ອງການ ,tohng2 kaan, want
,要る,ຢາກໄດ້ ,yaak dai2, want
,居る,ຢູ່ ,yuu1, be
,いれずみ,ສັກ ,sak, tattoo
,いれずみ,ສັກລາຍ ,sak laay, tattoo
,入れる,ໃສ່ ,say1, put
,入れる,ເອົາໃສ່ ,ao say1, put on
,色,ສີ ,sii, color
,いろいろ,ຫລາຍສິ່ງຫລາຍຢ່າງ ,hlaay sing1 hlaay yaang1, many
,いろいろ,ຫລາຍໆຢ່າງ ,hlaay # yaang1, many things
,岩,ຫີນ ,hhiin, rock
,祝うiwau,ສະຫລອງ ,sa hlohng, cerebrate
,印鑑inkan,ກາຈ້ຳ ,kaa jam2, stamp
,インゲン豆,ຖົ່ວຍາວ ,htua1 nyaaw, kidney bean
,印刷,ພິມ ,phim, print 
,印象,ພາບຕິດຕາ ,phaap tit taa, impression
,インスタントラーメン,ຫມີ່ ,hmii1, instant noodle
,インターネット,ອິນເຕີເນັດ ,in ter net, internet 
,インターネットカフェ,ອິນເຕີເນັດຄາເຟ້ ,in ter net khaa fee2, internet café
,引退,ກະສຽນ ,ka sian, retire
,引退,ເບັ້ຍບຳນານ ,bey2 bam naan, retire
,インド,ອິນເດຍ ,in deey, India
,インドネシア,ອິນໂດເນເຊຍ ,in doo nee xeey, Indonesia
,インフレinfure,ເງີນເຟີ້ ,ngern fer2, inflation
,インポテンツ,ຂ້ອຍບໍ່ເກັ່ງ ,hkohy2 boh1 keng1, impotent
,飲料水,ນ້ຳດື່ມ ,nam2 deum1, drinking water
,（～）う,ຊິ ,xi, wiil (v)
,（～）う,ນຳກັນ ,nam kan, let's (v)
,ウイスキー,ວິສະກີ້ ,wi sa kii2, whisky
,ウインドウズ,ປ່ອງຢ້ຽມ ,pohng1 yiam2, windows
,上,ທາງເທີງ ,thaang therng," on, above"
,上,ເທີງ ,therng, above
,ウエイター,ຄົນເສີບອາຫານ ,khon serp aa hhaan, waiter
,ウエイター,ເດັກເສີບ ,dek serp, waiter
,ウエイトレス,ຄົນເສີບອາຫານ ,khon serp aa hhaan, waitress
,ウエイトレス,ເດັກເສີບ ,dek serp, waitress
,植える,ປູກ ,puuk, plant
,飢える,ອົດເຂົ້າ ,ot hkao2, starve
,飢えるueru,ອົດອາຫານ ,ot aa hhaan, starve
,伺う,ຖາມ ,htaam, ask
,伺うukagau,ຢ້ຽມຢາມ ,yiam2 yaam, visit
,伺うukagau,ຢ້ຽມຢາມ ,yiam2 yaam, visit
,雨季,ຍາມຝົນ ,nyaam hfon, rainy season
,浮く,ລອຍ ,lohy, float
,受付,ປະຊາສຳພັນ ,pa xaa sam phan, information
,受け付けるuketsukeru,ຮັບ ,hap, accept
,受け取るuketoru,ໄດ້ຮັບ ,dai2 hap, receive
,受け取る,ເອົາ ,ao, receive
,受け取る,ຮັບ ,hap, receive
,受ける,ຮັບ ,hap, receive
,動かすugokasu,ຍ້າຍ ,nyaay2, move (n)
,動き,ການເຄື່ອນໃຫວ ,kaan kheuan1 hhway," action, movement"
,動く,ໄປ ,pai, move oneself
,ウコン,ຂ່າ ,hkaa1, galangal
,兎,ກະຕ່າຍ ,ka taay1, rabbit
,牛,ງົວ ,ngua, cow
,失う,ເສຍ ,seey, lose
,失う,ເຮ່ຍ ,heey1, dropped
,後ろ,ຫລັງ ,hlang, behind
,薄い,ບາງ ,baang, thin
,うそ,ຕົວະ ,tua', lie
,うそつき,ຂີ້ຕົວະ ,hkii2 tua', liar
,嘘つき,ຄົນຂີ້ຕົວະ ,khon hkii2 tua' , lie
,歌,ເພັງ ,pheng, song
,歌うutau,ຮ້ອງເພັງ ,hohng2 pheng, sing a song
,疑うutagau,ສົງໃສ ,song say, suspected
,家,ເຮືອນ ,heuan, house
,打ち合わせる,ປືກສາຫາລືພາຍໃນ ,peuk saa hhaa leu phaay nay, discuss
,宇宙uchuu,ຈັກກະວານ ,jak ka waan, universe
,撃つ,ຍິງ ,nying, shoot
,打つ,ຕີ ,tii, beat
,美しいutsukushii,ງາມ ,ngaam, beautiful
,美しいutsukushii,ງົດງາມ ,ngot ngaam, beautiful
,移す,ຍ້າຍ ,nyaay2, move
,写す,ອັດເອກະສານ ,at ee ka saan, copy
,訴える,ຟ້ອງຮ້ອງ ,fohng2 hohng2, take complain
,訴える,ຟ້ອງສານ ,fohng2 saan, take complain 
,腕,ແຂນ ,hkaen, arm
,鰻,ອ່ຽນ ,ian1, eel
,奪う,ຍາດຊິງ ,nyaat xing, take by force
,馬,ມ້າ ,maa2, horse
,上手い,ເກັ່ງ ,keng1, be good at
,上手い,ດີ ,dii, be good at
,生まれるumareru,ເກີດ ,kert, birth
,海,ທະເລ ,tha lee, sea
,産む,ເກີດ ,kert, birth
,産む,ກຳເນີດ ,kam nert, birth
,埋める,ຝັງ ,hfang, bury
,裏,ຫລັງ ,hlang, behind
,裏切るuragiru,ຫັກຫລັງ ,hhak hlang, turn one's coat
,恨むuramu,ຄຽດແຄ້ນ ,khiat khaen2, against
,うらやましいurayamashii,ອິດສາ ,it saa, envious
,売り切れる,ຂາຍຫມົດ ,hkaay hmot, sell out
,売る,ຂາຍ ,hkaay, sell
,うるさいurusai,ບົນແຊວ ,bon xaew, noisy
,うるさいurusai,ລຳຄານ ,lam khaan, noisy
,うるさい,ຫນວກຫູ ,hnuak hhuu, too noisy
,うるち米,ເຂົ້າຈ້າວ ,hkao2 jaaw2, non glutinous rice
,うれしいureshii,ດີໃຈ ,dii jay, glad
,浮気,ນອກໃຈ ,nohk jay, have an affair with
,上着uwagi,ເສື້ອໃຫຍ່ ,seua2 hyay1, jacket
,噂,ສ່າລື ,saa1 leu, rumor
,上履きuwabaki,ເກີບແຕະ ,kerp te', slippers
,運が良い,ໂຊກດີ ,xook dii," lucky, good luck"
,運が悪い,ໂຊກບໍ່ດີ ,xook boh1 dii, misfortune
,運,ໂຊກ ,xook, luck
,運,ໂຊກຊາຕາ ,xook xaa taa," fate, luck"
,うんこ,ຂີ້ ,hkii2, excrement
,うんざり,ຫນ້າເບື່ອ ,hnaa2 beua1, bored
,うんち,ຂີ້ ,hkii2, shit
,運賃,ຄ່າໂດຍສານ ,khaa1 dooy saan, transportation cost
,運転,ຂັບຂີ່ ,hkap hkii1, drive
,運転,ຂັບລົດ ,hkap lot, drive a car
,運転手,ຄົນຂັບລົດ ,khon hkap lot, driver
,運転免許証,ໃບຂັບຂີ່ ,bay hkap hkii1, driving license
,運動,ອອກກຳລັງກາຍ ,ohk kam lang kaay, do exercise
,運動会,ງານແຂ່ງຂັນກິລາ ,ngaan hkaeng1 hkan ki laa, athletic meet
,運動靴,ເກີບກິລາ ,kerp ki laa, sport shoes
,運動クラブ,ສະໂມສອນກິລາ ,sa moo sohn ki laa, athletic club
,運動場,ສະຫນາມ ,sa hnaam, playground
,運命,ໂຊກ ,xook, destiny
,絵,ແຕ້ມຮູບ ,taem2 huup, draw
,絵,ຮູບ ,huup, picture
,エアコン,ແອ ,ae, air conditioner
,映画,ຮູບເງົາ ,huup ngao, movie
,映画館,ໂຮງຫນັງ ,hoong hnang, movie theater
,永久,ຕະຫລອດການ ,ta hloht kaan, permanence
,永久eikyuu,ຖາວອນ ,htaa wohn, permanence
,影響,ຜົນກະທົບ ,hpon ka thop, effect
,営業職,ການຕະຫລາດ ,kaan ta hlaat, marketing
,英語,ພາສາອັງກິດ ,phaa saa ang kit, English
,エイズ,ໂລກເອດ ,look eet, AIDS
,エイズ,ເອດ ,eet, AIDS
,衛生的,ຖືກຫລັກອະນາໄມ ,hteuk hlak a naa mai, be good sanitary condition
,英雄eiyuu,ວິລະບູລຸດ ,wi la buu lut, hero
,栄養,ຂອງບຳລຸງລ້ຽງ ,hkohng bam lung liang2, nutrition food
,笑顔,ຍີ້ມຫວານ ,nyiim2 hhwaan, sweet smile
,描くegaku,ພັນລະນາ ,phan la naa, describe
,駅,ບ່ອນຈອດລົດໄຟ ,bohn1 joht lot fai, railway station
,駅,ສະຖານີ ,sa htaa nii, station
,液,ທາດແຫລວ ,thaat hlaew, liquid
,エキストラベッド,ຕຽງເພີ່ມ ,tiang pherm2, extra bed
,液体,ທາດແຫລວ ,thaat hlaew, liquid matter
,枝,ກິ່ງ ,king1, (tree) branch
,絵の具,ແຕ່ງສີຮູບ ,taeng1 sii huup, colours
,絵葉書,ໂປດສະກາດ ,poot sa kaat, postcard
,えび,ກຸ້ງ ,kung2, shrimp
,えらい,ມີຕຳແຫນ່ງ ,mii tam hnaeng1, have position
,選ぶerabu,ຄັດເລືອກ ,khat leuak, select
,選ぶ,ເລືອກ ,leuak, select
,襟,ຄໍເສື້ອ ,khoh seua2, collar
,得る,ໄດ້ ,dai2," gain, earn"
,得る,ຮັບ ,hap," gain, earn"
,円en,ເປັນວົງມົນ ,pen wong mon, circle
,円,ເຢັນ ,yen, yen
,宴会enkai,ງານລ້ຽງ ,ngaan liang2, party
,延期,ເລື່ອນເວລາ ,leuan1 wee laa, postpone
,演劇engeki,ລະຄອນ ,la khohn, drama
,エンジニア,ວິສະວະກອນ ,wi sa wa kohn, engineer
